Mouse_ID,Treatment,Sex,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
1.1,Hot Sake,Male,0,0,0,0,0,0,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5
1.2,Hot Sake,Male,0,0,0,0,0,0,0,1,1,3,3,2.5,1.5,1.5,1.5,0.5,1,1,1.5,2,2.5,2,1.5,1.5,1.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,1.5,1.5,0.5,0.5
1.3,Hot Sake,Male,0,0,0,0,0,0,0,1,2,3,3.5,3.5,1.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.5,2,1,1,1.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.4,Hot Sake,Male,0,0,0,0,0,0,0,2,3,1,1,1,1,2.5,2,2.5,1.5,1,0.5,0.5,0.5,0.5,1.5,2.5,2,2,2,2,1.5,1.5,1,1,1.5,1.5,1.5,1.5,2,2.5,2.5
1.5,Hot Sake,Male,0,0,0,0,0,0,0,3,2.5,1.5,1.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.6,Hot Sake,Male,0,0,0,0,0,0,0,3,2.5,1.5,1.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,2.5,2,2.5,1.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.7,Hot Sake,Male,0,0,0,0,0,0,0,3,2.5,1.5,1.5,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,2.5,2,2.5,1.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.8,Hot Sake,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2.5,1.5,1.5,0.5,1.5,1.5,1,1.5,2,2.5,2.5,3,2.5,2.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2,2.5
2.1,Hot Sake,Female,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,2,2.5,2.5
2.2,Hot Sake,Female,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0.5,2,2,2,2,1.5,1,0.5,0.5
2.3,Hot Sake,Female,0,0,0,0,0,0,0,0,0,2,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,1.5,2,1.5,1,0.5,1.5,1,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,1
2.4,Hot Sake,Female,0,0,2,3.5,3,2.5,2.5,2,2,1.5,0.5,0.5,0.5,0.5,2.5,2.5,2,2,1,0.5,0.5,1.5,0.5,0.5,0.5,1.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1.5
2.5,Hot Sake,Female,0,0,0,0,0,0,0,0,0,2,2,1.5,1,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1,0.5,0.5,0.5,0.5,1.5,1,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5
2.6,Hot Sake,Female,0,0,0,0,2,2.5,3,2.5,1.5,1.5,1,1.5,1.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1,0.5,0.5,0.5,0.5,0.5,1.5,1,1,1,1,1,1.5,0.5,0.5,0.5
